"p","K","nu","delta","sparse","alpha","criterion","independent","detector","combine","ARL","CAD","PFA","power"
0,1,50,0.05,FALSE,0.05,"ARL",TRUE,"oracle","joint",29.16,4.88,0.75,0.25
0,1,50,0.05,FALSE,0.05,"ARL",TRUE,"misspec","joint",27.35,5.66666666666667,0.91,0.09
0,1,50,0.05,FALSE,0.05,"ARL",TRUE,"bounded","average",20.93,NA,1,0
0,2,50,0.05,FALSE,0.05,"ARL",TRUE,"oracle","joint",29.26,3.80769230769231,0.74,0.26
0,2,50,0.05,FALSE,0.05,"ARL",TRUE,"misspec","joint",24.24,4.9,0.9,0.1
0,2,50,0.05,FALSE,0.05,"ARL",TRUE,"bounded","average",21.24,NA,1,0
0,2,50,0.05,FALSE,0.05,"ARL",TRUE,"bounded","product",21.55,NA,1,0
0,2,50,0.05,FALSE,0.05,"ARL",TRUE,"bounded","up",20.62,NA,1,0
0,1,100,0.05,FALSE,0.05,"ARL",TRUE,"oracle","joint",31.22,6,0.97,0.03
0,1,100,0.05,FALSE,0.05,"ARL",TRUE,"misspec","joint",25.42,NA,1,0
0,1,100,0.05,FALSE,0.05,"ARL",TRUE,"bounded","average",21.32,NA,1,0
0,2,100,0.05,FALSE,0.05,"ARL",TRUE,"oracle","joint",33.99,3.8,0.95,0.05
0,2,100,0.05,FALSE,0.05,"ARL",TRUE,"misspec","joint",24.19,NA,1,0
0,2,100,0.05,FALSE,0.05,"ARL",TRUE,"bounded","average",21.05,NA,1,0
0,2,100,0.05,FALSE,0.05,"ARL",TRUE,"bounded","product",21.29,NA,1,0
0,2,100,0.05,FALSE,0.05,"ARL",TRUE,"bounded","up",20.71,NA,1,0
0,1,50,0.0875,FALSE,0.05,"ARL",TRUE,"oracle","joint",34.46,2.46153846153846,0.61,0.39
0,1,50,0.0875,FALSE,0.05,"ARL",TRUE,"misspec","joint",28.81,2.14285714285714,0.79,0.21
0,1,50,0.0875,FALSE,0.05,"ARL",TRUE,"bounded","average",21.06,NA,1,0
0,2,50,0.0875,FALSE,0.05,"ARL",TRUE,"oracle","joint",33.01,2.92307692307692,0.61,0.39
0,2,50,0.0875,FALSE,0.05,"ARL",TRUE,"misspec","joint",25.22,2.33333333333333,0.85,0.15
0,2,50,0.0875,FALSE,0.05,"ARL",TRUE,"bounded","average",20.57,NA,1,0
0,2,50,0.0875,FALSE,0.05,"ARL",TRUE,"bounded","product",21.47,NA,1,0
0,2,50,0.0875,FALSE,0.05,"ARL",TRUE,"bounded","up",20.63,NA,1,0
0,1,100,0.0875,FALSE,0.05,"ARL",TRUE,"oracle","joint",37.67,4.66666666666667,0.94,0.06
0,1,100,0.0875,FALSE,0.05,"ARL",TRUE,"misspec","joint",33.75,2.66666666666667,0.94,0.06
0,1,100,0.0875,FALSE,0.05,"ARL",TRUE,"bounded","average",20.98,NA,1,0
0,2,100,0.0875,FALSE,0.05,"ARL",TRUE,"oracle","joint",41.91,3.16666666666667,0.88,0.12
0,2,100,0.0875,FALSE,0.05,"ARL",TRUE,"misspec","joint",28.41,2,0.99,0.01
0,2,100,0.0875,FALSE,0.05,"ARL",TRUE,"bounded","average",21.44,NA,1,0
