"nu","delta","strategy","kelly_lam","power","FAR","CAD","comp_time_ms"
10,0.05,"Full AGRAPA",NA,1,0,145.093333333333,1.52333333333334
10,0.05,"Window AGRAPA (W=30)",NA,0.99,0,141.750841750842,1.60333333333334
10,0.05,"EWMA (rho=0.10)",NA,0.99,0,130.141414141414,2.00333333333333
10,0.05,"Per-clock W=30",NA,0.993333333333333,0,127.758389261745,2.77333333333331
10,0.05,"Oracle Kelly",0.969528140527098,1,0,103.383333333333,1.51999999999999
10,0.1,"Full AGRAPA",NA,1,0,56.1266666666667,1.51333333333334
10,0.1,"Window AGRAPA (W=30)",NA,1,0,52.4733333333333,1.53999999999999
10,0.1,"EWMA (rho=0.10)",NA,1,0,55.71,2.04000000000001
10,0.1,"Per-clock W=30",NA,1,0,47.1366666666667,1.07999999999999
10,0.1,"Oracle Kelly",1.75334258484986,1,0,39.49,1.52666666666669
10,0.15,"Full AGRAPA",NA,1,0,33.71,1.52000000000001
10,0.15,"Window AGRAPA (W=30)",NA,1,0,33.42,1.51333333333334
10,0.15,"EWMA (rho=0.10)",NA,1,0,32.2133333333333,2.02000000000001
10,0.15,"Per-clock W=30",NA,1,0,29.3966666666667,0.793333333333332
10,0.15,"Oracle Kelly",1.99999997019768,1,0,23.2633333333333,1.48000000000001
10,0.2,"Full AGRAPA",NA,1,0,24.4833333333333,1.56333333333334
10,0.2,"Window AGRAPA (W=30)",NA,1,0,25.32,1.53999999999999
10,0.2,"EWMA (rho=0.10)",NA,1,0,23.28,2.00333333333333
10,0.2,"Per-clock W=30",NA,1,0,22,0.603333333333348
10,0.2,"Oracle Kelly",1.99999997019768,1,0,17.1966666666667,1.49333333333333
10,0.3,"Full AGRAPA",NA,1,0,17.1933333333333,1.54333333333334
10,0.3,"Window AGRAPA (W=30)",NA,1,0,16.9866666666667,1.52000000000001
10,0.3,"EWMA (rho=0.10)",NA,1,0,15.97,2.02333333333333
10,0.3,"Per-clock W=30",NA,1,0,14.75,0.463333333333343
10,0.3,"Oracle Kelly",1.99999997019768,1,0,11.4,1.46999999999998
10,0.4,"Full AGRAPA",NA,1,0,13.3866666666667,1.58333333333331
10,0.4,"Window AGRAPA (W=30)",NA,1,0,13.6133333333333,1.52333333333334
10,0.4,"EWMA (rho=0.10)",NA,1,0,12.5933333333333,2.01666666666668
10,0.4,"Per-clock W=30",NA,1,0,11.56,0.463333333333319
10,0.4,"Oracle Kelly",1.99999997019768,1,0,8.97666666666667,1.48000000000001
50,0.05,"Full AGRAPA",NA,0.996666666666667,0,147.76254180602,1.48333333333333
50,0.05,"Window AGRAPA (W=30)",NA,0.983333333333333,0.00333333333333333,119.447457627119,1.54666666666666
50,0.05,"EWMA (rho=0.10)",NA,0.98,0.00333333333333335,121.636054421769,1.99666666666668
50,0.05,"Per-clock W=30",NA,0.99,0.00666666666666666,116.340067340067,3.22333333333333
50,0.05,"Oracle Kelly",0.969528140527098,0.996666666666667,0.00333333333333333,90.6989966555184,1.45333333333333
50,0.1,"Full AGRAPA",NA,1,0,70.03,1.53333333333331
50,0.1,"Window AGRAPA (W=30)",NA,1,0,46.46,1.53000000000001
50,0.1,"EWMA (rho=0.10)",NA,1,0,42.9966666666667,1.98999999999998
50,0.1,"Per-clock W=30",NA,0.993333333333333,0.00666666666666666,43.8053691275168,1.79000000000002
50,0.1,"Oracle Kelly",1.75334258484986,0.98,0.02,36.2176870748299,1.46999999999996
50,0.15,"Full AGRAPA",NA,1,0,44.4766666666667,1.50000000000001
50,0.15,"Window AGRAPA (W=30)",NA,0.996666666666667,0.00333333333333334,30.2742474916388,1.53333333333336
50,0.15,"EWMA (rho=0.10)",NA,0.993333333333333,0.00666666666666667,26.3355704697987,1.98333333333333
50,0.15,"Per-clock W=30",NA,0.996666666666667,0.00333333333333334,26.3377926421405,1.43333333333331
50,0.15,"Oracle Kelly",1.99999997019768,0.986666666666667,0.0133333333333333,22.6351351351351,1.51333333333331
50,0.2,"Full AGRAPA",NA,1,0,32.4433333333333,1.50666666666666
50,0.2,"Window AGRAPA (W=30)",NA,0.996666666666667,0.00333333333333333,22.8461538461538,1.50666666666666
50,0.2,"EWMA (rho=0.10)",NA,0.996666666666667,0.00333333333333334,19.1505016722408,2.07666666666663
50,0.2,"Per-clock W=30",NA,0.99,0.00999999999999999,19.4175084175084,1.31
50,0.2,"Oracle Kelly",1.99999997019768,0.98,0.02,16.6632653061224,1.48666666666666
50,0.3,"Full AGRAPA",NA,0.993333333333333,0.00666666666666666,22.006711409396,1.52666666666666
50,0.3,"Window AGRAPA (W=30)",NA,1,0,16.6766666666667,1.53000000000001
50,0.3,"EWMA (rho=0.10)",NA,0.996666666666667,0.00333333333333333,12.6688963210702,1.99999999999998
50,0.3,"Per-clock W=30",NA,1,0,13.1033333333333,1.18
50,0.3,"Oracle Kelly",1.99999997019768,0.976666666666667,0.0233333333333333,11.0682593856655,1.49666666666666
50,0.4,"Full AGRAPA",NA,0.993333333333333,0.00666666666666666,17.0201342281879,1.55666666666666
50,0.4,"Window AGRAPA (W=30)",NA,1,0,13.2566666666667,1.54000000000001
50,0.4,"EWMA (rho=0.10)",NA,0.993333333333333,0.00666666666666666,10.0469798657718,1.96999999999998
50,0.4,"Per-clock W=30",NA,0.993333333333333,0.00666666666666668,10.4496644295302,1.17333333333335
50,0.4,"Oracle Kelly",1.99999997019768,0.97,0.03,8.52577319587629,1.50000000000001
200,0.05,"Full AGRAPA",NA,0.886666666666667,0.02,163.778195488722,1.44999999999996
200,0.05,"Window AGRAPA (W=30)",NA,0.873333333333333,0.0766666666666667,95.1984732824428,1.51666666666666
200,0.05,"EWMA (rho=0.10)",NA,0.846666666666667,0.113333333333333,97.488188976378,1.90333333333333
200,0.05,"Per-clock W=30",NA,0.866666666666667,0.0966666666666667,97.8538461538462,5.60666666666667
200,0.05,"Oracle Kelly",0.969528140527098,0.89,0.106666666666667,84.7303370786517,1.45000000000001
200,0.1,"Full AGRAPA",NA,0.976666666666667,0.0233333333333333,89.320819112628,1.46000000000001
200,0.1,"Window AGRAPA (W=30)",NA,0.89,0.11,41.7415730337079,1.51000000000001
200,0.1,"EWMA (rho=0.10)",NA,0.903333333333333,0.0966666666666667,41.3653136531365,1.94333333333333
200,0.1,"Per-clock W=30",NA,0.9,0.1,38.2259259259259,4.32666666666667
