"delta","strategy","kelly_lam","power","FAR","CAD","comp_time_ms"
0.05,"Full AGRAPA",NA,0.992,0,156.792338709677,1.67
0.05,"Window AGRAPA (W=30)",NA,0.988,0.004,122.390688259109,1.698
0.05,"EWMA (rho=0.10)",NA,0.98,0.00799999999999999,125.314285714286,2.066
0.05,"Per-clock W=30",NA,0.984,0.00999999999999999,111.758130081301,3.19
0.05,"Oracle Kelly",0.969528140527098,0.994,0.006,98.7806841046278,1.48
0.1,"Full AGRAPA",NA,0.996,0.004,69.6506024096386,1.59
0.1,"Window AGRAPA (W=30)",NA,0.994,0.006,46.4024144869215,1.552
0.1,"EWMA (rho=0.10)",NA,0.994,0.006,45.6197183098592,1.968
0.1,"Per-clock W=30",NA,0.992,0.00799999999999999,42.7278225806452,1.778
0.1,"Oracle Kelly",1.75334258484986,0.98,0.02,37.9040816326531,1.474
0.15,"Full AGRAPA",NA,0.998,0.002,45.4529058116232,1.536
0.15,"Window AGRAPA (W=30)",NA,0.99,0.00999999999999999,30.0262626262626,1.51
0.15,"EWMA (rho=0.10)",NA,0.996,0.004,27.0381526104418,1.99
0.15,"Per-clock W=30",NA,0.994,0.006,26.5211267605634,1.482
0.15,"Oracle Kelly",1.99999997019768,0.99,0.00999999999999999,22.5838383838384,1.448
0.2,"Full AGRAPA",NA,0.998,0.002,33.3286573146293,1.542
0.2,"Window AGRAPA (W=30)",NA,0.996,0.004,22.7590361445783,1.518
0.2,"EWMA (rho=0.10)",NA,0.994,0.006,19.2796780684105,1.988
0.2,"Per-clock W=30",NA,0.994,0.006,19.2816901408451,1.312
0.2,"Oracle Kelly",1.99999997019768,0.986,0.014,16.2839756592292,1.488
0.3,"Full AGRAPA",NA,0.992,0.00799999999999999,21.8931451612903,1.506
0.3,"Window AGRAPA (W=30)",NA,0.99,0.00999999999999999,16.8060606060606,1.558
0.3,"EWMA (rho=0.10)",NA,0.998,0.002,12.8897795591182,1.998
0.3,"Per-clock W=30",NA,0.986,0.014,13.3245436105477,1.186
0.3,"Oracle Kelly",1.99999997019768,0.984,0.016,11.0731707317073,1.49400000000001
0.4,"Full AGRAPA",NA,0.994,0.006,17.8752515090543,1.53
0.4,"Window AGRAPA (W=30)",NA,0.998,0.002,13.1763527054108,1.532
0.4,"EWMA (rho=0.10)",NA,0.996,0.004,10.1546184738956,2.012
0.4,"Per-clock W=30",NA,0.992,0.00799999999999999,10.4395161290323,1.156
0.4,"Oracle Kelly",1.99999997019768,0.964,0.036,8.71161825726141,1.494
