"W","delta","strategy_type","strategy","power","FAR","CAD","comp_time_ms"
1,0.05,"Window","Window (W=1)",0.976666666666667,0.00999999999999999,127.044368600683,1.58666666666666
1,0.05,"Per-clock","Per-clock (W=1)",0.976666666666667,0.00999999999999999,123.559726962457,2.62999999999999
1,0.1,"Window","Window (W=1)",0.993333333333333,0.00666666666666667,51.0369127516779,1.56666666666666
1,0.1,"Per-clock","Per-clock (W=1)",0.993333333333333,0.00666666666666665,51.6040268456376,1.48333333333333
1,0.15,"Window","Window (W=1)",0.99,0.00999999999999999,29.013468013468,1.62666666666667
1,0.15,"Per-clock","Per-clock (W=1)",0.986666666666667,0.0133333333333333,28.4831081081081,1.12666666666666
1,0.2,"Window","Window (W=1)",0.996666666666667,0.00333333333333333,20.7224080267559,1.55
1,0.2,"Per-clock","Per-clock (W=1)",0.993333333333333,0.00666666666666666,19.6812080536913,1.07666666666667
1,0.3,"Window","Window (W=1)",1,0,12.53,1.51333333333334
1,0.3,"Per-clock","Per-clock (W=1)",0.983333333333333,0.0166666666666667,11.9966101694915,0.909999999999999
1,0.4,"Window","Window (W=1)",0.993333333333333,0.00666666666666666,8.98322147651007,1.57
1,0.4,"Per-clock","Per-clock (W=1)",0.983333333333333,0.0166666666666667,9.26440677966102,0.906666666666662
5,0.05,"Window","Window (W=5)",0.97,0.00333333333333334,125.927835051546,1.47666666666667
5,0.05,"Per-clock","Per-clock (W=5)",0.986666666666667,0.00999999999999999,129.557432432432,2.93999999999999
5,0.1,"Window","Window (W=5)",0.996666666666667,0.00333333333333333,46.5484949832776,1.52333333333334
5,0.1,"Per-clock","Per-clock (W=5)",0.993333333333333,0.00666666666666666,44.3825503355705,1.59333333333334
5,0.15,"Window","Window (W=5)",0.996666666666667,0.00333333333333334,26.1538461538462,1.50333333333333
5,0.15,"Per-clock","Per-clock (W=5)",0.996666666666667,0.00333333333333334,25.6588628762542,1.27
5,0.2,"Window","Window (W=5)",0.98,0.02,17.2074829931973,1.55666666666666
5,0.2,"Per-clock","Per-clock (W=5)",0.993333333333333,0.00666666666666666,18.1073825503356,1.11666666666665
5,0.3,"Window","Window (W=5)",0.983333333333333,0.0166666666666667,11.7728813559322,1.53666666666669
5,0.3,"Per-clock","Per-clock (W=5)",0.993333333333333,0.00666666666666665,12.0604026845638,1.02666666666667
5,0.4,"Window","Window (W=5)",0.99,0.00999999999999999,9.55218855218855,1.53999999999999
5,0.4,"Per-clock","Per-clock (W=5)",0.996666666666667,0.00333333333333334,9.27759197324415,1.01333333333334
30,0.05,"Window","Window (W=30)",0.983333333333333,0.00666666666666667,115.498305084746,1.49333333333333
30,0.05,"Per-clock","Per-clock (W=30)",0.976666666666667,0.01,114.252559726962,3.20333333333333
30,0.1,"Window","Window (W=30)",1,0,44.3333333333333,1.50333333333333
30,0.1,"Per-clock","Per-clock (W=30)",0.993333333333333,0.00666666666666667,43.0906040268456,1.8
30,0.15,"Window","Window (W=30)",0.99,0.01,28.7239057239057,1.50666666666666
30,0.15,"Per-clock","Per-clock (W=30)",0.993333333333333,0.00666666666666666,26.8758389261745,1.49666666666666
30,0.2,"Window","Window (W=30)",0.996666666666667,0.00333333333333333,21.876254180602,1.50666666666668
30,0.2,"Per-clock","Per-clock (W=30)",0.99,0.01,19.0538720538721,1.29666666666665
30,0.3,"Window","Window (W=30)",0.99,0.00999999999999999,15.9191919191919,1.57333333333334
30,0.3,"Per-clock","Per-clock (W=30)",0.99,0.00999999999999999,13.2289562289562,1.17666666666665
30,0.4,"Window","Window (W=30)",0.996666666666667,0.00333333333333334,13.2374581939799,1.51999999999999
30,0.4,"Per-clock","Per-clock (W=30)",1,0,10.7,1.17
100,0.05,"Window","Window (W=100)",0.993333333333333,0.00666666666666667,133.580536912752,1.51000000000001
100,0.05,"Per-clock","Per-clock (W=100)",0.976666666666667,0.0166666666666667,120.334470989761,3.89666666666666
100,0.1,"Window","Window (W=100)",0.996666666666667,0.00333333333333335,63.9698996655518,1.53000000000001
100,0.1,"Per-clock","Per-clock (W=100)",0.996666666666667,0.00333333333333334,45.2374581939799,2.06999999999998
100,0.15,"Window","Window (W=100)",0.993333333333333,0.00666666666666666,44.010067114094,1.54333333333334
100,0.15,"Per-clock","Per-clock (W=100)",0.99,0.01,26.4276094276094,1.60999999999999
100,0.2,"Window","Window (W=100)",0.99,0.00999999999999999,32.3299663299663,1.51333333333334
100,0.2,"Per-clock","Per-clock (W=100)",0.993333333333333,0.00666666666666668,19.7114093959732,1.49333333333333
100,0.3,"Window","Window (W=100)",0.996666666666667,0.00333333333333334,22.6622073578595,1.51333333333334
100,0.3,"Per-clock","Per-clock (W=100)",1,0,13.1566666666667,1.28666666666668
100,0.4,"Window","Window (W=100)",1,0,17.8366666666667,1.55999999999999
100,0.4,"Per-clock","Per-clock (W=100)",0.99,0.01,10.3097643097643,1.25666666666667
