"p","K","nu","delta","sparse","alpha","criterion","independent","detector","combine","ARL","CAD","PFA","power"
0,2,10,0,FALSE,1e-04,"ARL",TRUE,"oracle","joint",Inf,NA,0,0
0,2,10,0,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1346,0,0.06
0,2,10,0,FALSE,1e-04,"ARL",TRUE,"bounded","average",Inf,2005.1,0,0.0333333333333333
0,2,10,0,FALSE,1e-04,"ARL",TRUE,"bounded","product",Inf,1731.56,0,0.0833333333333333
1,2,10,0,FALSE,1e-04,"ARL",TRUE,"oracle","joint",Inf,NA,0,0
1,2,10,0,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1670.33333333333,0,0.11
1,2,10,0,FALSE,1e-04,"ARL",TRUE,"bounded","average",Inf,1456.92753623188,0,0.23
1,2,10,0,FALSE,1e-04,"ARL",TRUE,"bounded","product",Inf,1127.55660377359,0,0.353333333333333
0,10,10,0,FALSE,1e-04,"ARL",TRUE,"oracle","joint",Inf,NA,0,0
0,10,10,0,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1939.28571428571,0,0.0233333333333333
0,10,10,0,FALSE,1e-04,"ARL",TRUE,"bounded","average",Inf,NA,0,0
0,10,10,0,FALSE,1e-04,"ARL",TRUE,"bounded","product",Inf,1780.46511627907,0,0.143333333333333
1,10,10,0,FALSE,1e-04,"ARL",TRUE,"oracle","joint",Inf,NA,0,0
1,10,10,0,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1472.26086956522,0.973333333333333,0.0766666666666667
1,10,10,0,FALSE,1e-04,"ARL",TRUE,"bounded","average",Inf,2224.61904761905,0,0.07
1,10,10,0,FALSE,1e-04,"ARL",TRUE,"bounded","product",Inf,646.746268656717,0,0.893333333333333
0,2,1000,0,FALSE,1e-04,"ARL",TRUE,"oracle","joint",Inf,NA,0,0
0,2,1000,0,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,960.529411764706,0.03,0.0566666666666667
0,2,1000,0,FALSE,1e-04,"ARL",TRUE,"bounded","average",Inf,1319.66666666667,0.00666666666666667,0.02
0,2,1000,0,FALSE,1e-04,"ARL",TRUE,"bounded","product",Inf,1067.1875,0.02,0.0533333333333333
1,2,1000,0,FALSE,1e-04,"ARL",TRUE,"oracle","joint",Inf,NA,0,0
1,2,1000,0,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,918.925925925926,0.0433333333333333,0.09
