"graph_type","speed","strategy","has_change","K","alpha","N","nu0","scale","n_rep","ARL","frac_alarmed","CAD_total","mean_frac_detected","detect_frac_early","detect_frac_mid","detect_frac_late"
"hub_spoke","fast","oracle",TRUE,6,0.001,3000,500,50,300,504.26,1,150.963333333333,0.967222222222222,1,1,1
"fully_connected","fast","oracle",TRUE,6,0.001,3000,500,50,300,506.946666666667,1,152.916666666667,0.975555555555556,1,1,1
"linear","fast","oracle",TRUE,6,0.001,3000,500,50,300,508.763333333333,1,149.423333333333,0.964444444444444,0.421111111111111,1,1
"hub_spoke","slow","oracle",TRUE,6,0.001,3000,500,3000,300,476.373333333333,1,11.9233333333333,0.77,1,1,1
"fully_connected","slow","oracle",TRUE,6,0.001,3000,500,3000,300,475.833333333333,1,11.7033333333333,0.763333333333333,1,1,1
"linear","slow","oracle",TRUE,6,0.001,3000,500,1750,300,492.143333333333,1,23.9166666666667,0.635,0.526666666666667,0.533333333333333,0.545
"hub_spoke","fast","uniform",TRUE,6,0.001,3000,500,50,300,505.843333333333,1,154.253333333333,0.974444444444444,1,1,1
"fully_connected","fast","uniform",TRUE,6,0.001,3000,500,50,300,515.476666666667,1,153.88,0.978333333333333,1,1,1
"linear","fast","uniform",TRUE,6,0.001,3000,500,50,300,502.943333333333,1,151.846666666667,0.957777777777778,0.416111111111111,1,1
"hub_spoke","slow","uniform",TRUE,6,0.001,3000,500,3000,300,506.03,1,25.8333333333333,0.98,1,1,1
"fully_connected","slow","uniform",TRUE,6,0.001,3000,500,3000,300,509.916666666667,1,25.8066666666667,0.973333333333333,1,1,1
"linear","slow","uniform",TRUE,6,0.001,3000,500,1750,300,503.153333333333,1,46.4533333333333,0.89,0.503333333333333,0.505,0.513333333333333
"hub_spoke","fast","graph_correct",TRUE,6,0.001,3000,500,50,300,511.1,1,151.49,0.974444444444444,1,1,1
"fully_connected","fast","graph_correct",TRUE,6,0.001,3000,500,50,300,511.72,1,153.24,0.977777777777778,1,1,1
"linear","fast","graph_correct",TRUE,6,0.001,3000,500,50,300,510.333333333333,1,139.87,0.967222222222222,0.435555555555556,1,1
"hub_spoke","slow","graph_correct",TRUE,6,0.001,3000,500,3000,300,509.226666666667,1,25.9833333333333,0.99,1,1,1
"fully_connected","slow","graph_correct",TRUE,6,0.001,3000,500,3000,300,511.37,1,26,0.993333333333333,1,1,1
"linear","slow","graph_correct",TRUE,6,0.001,3000,500,1750,300,505.763333333333,1,35.5733333333333,0.741666666666667,0.5,0.516666666666667,0.538333333333333
"hub_spoke","fast","graph_misspec",TRUE,6,0.001,3000,500,50,300,511.523333333333,1,152.913333333333,0.978888888888889,1,1,1
"fully_connected","fast","graph_misspec",TRUE,6,0.001,3000,500,50,300,511.676666666667,1,152.22,0.978888888888889,1,1,1
"linear","fast","graph_misspec",TRUE,6,0.001,3000,500,50,300,510.03,1,142.203333333333,0.963888888888889,0.428333333333333,1,1
"hub_spoke","slow","graph_misspec",TRUE,6,0.001,3000,500,3000,300,508.536666666667,1,25.2966666666667,0.976666666666667,1,1,1
"fully_connected","slow","graph_misspec",TRUE,6,0.001,3000,500,3000,300,507.426666666667,1,25.7333333333333,0.966666666666667,1,1,1
"linear","slow","graph_misspec",TRUE,6,0.001,3000,500,1750,300,504.736666666667,1,39.7366666666667,0.81,0.503333333333333,0.515,0.521666666666667
"hub_spoke","fast","oracle",FALSE,6,0.001,3000,500,50,300,1307.84,0.92,NA,NA,NA,NA,NA
"fully_connected","fast","oracle",FALSE,6,0.001,3000,500,50,300,1417.50333333333,0.903333333333333,NA,NA,NA,NA,NA
"linear","fast","oracle",FALSE,6,0.001,3000,500,50,300,1454.62666666667,0.88,NA,NA,NA,NA,NA
"hub_spoke","slow","oracle",FALSE,6,0.001,3000,500,3000,300,1272.08333333333,0.94,NA,NA,NA,NA,NA
"fully_connected","slow","oracle",FALSE,6,0.001,3000,500,3000,300,1384.90333333333,0.92,NA,NA,NA,NA,NA
"linear","slow","oracle",FALSE,6,0.001,3000,500,1750,300,1290.11333333333,0.933333333333333,NA,NA,NA,NA,NA
"hub_spoke","fast","uniform",FALSE,6,0.001,3000,500,50,300,1296.33333333333,0.94,NA,NA,NA,NA,NA
"fully_connected","fast","uniform",FALSE,6,0.001,3000,500,50,300,1395.97,0.91,NA,NA,NA,NA,NA
"linear","fast","uniform",FALSE,6,0.001,3000,500,50,300,1324.59333333333,0.916666666666667,NA,NA,NA,NA,NA
"hub_spoke","slow","uniform",FALSE,6,0.001,3000,500,3000,300,1390.24,0.926666666666667,NA,NA,NA,NA,NA
"fully_connected","slow","uniform",FALSE,6,0.001,3000,500,3000,300,1401.18,0.89,NA,NA,NA,NA,NA
"linear","slow","uniform",FALSE,6,0.001,3000,500,1750,300,1393.67666666667,0.926666666666667,NA,NA,NA,NA,NA
"hub_spoke","fast","graph_correct",FALSE,6,0.001,3000,500,50,300,1397.02333333333,0.916666666666667,NA,NA,NA,NA,NA
"fully_connected","fast","graph_correct",FALSE,6,0.001,3000,500,50,300,1374.95,0.896666666666667,NA,NA,NA,NA,NA
