"p","K","nu","delta","sparse","alpha","independent","ARL","CAD","PFA","power","stream_1_ARL","stream_2_ARL","stream_3_ARL","stream_4_ARL","stream_5_ARL","stream_6_ARL","stream_7_ARL","stream_8_ARL","stream_9_ARL","stream_10_ARL","stream_1_CAD","stream_2_CAD","stream_3_CAD","stream_4_CAD","stream_5_CAD","stream_6_CAD","stream_7_CAD","stream_8_CAD","stream_9_CAD","stream_10_CAD"
0,2,100,0,FALSE,1e-04,TRUE,Inf,1604.22950819672,0,0.203333333333333,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,1661.6875,1665.08333333333,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0,FALSE,1e-04,TRUE,474.4,374.4,0,1,658.21,641.183333333333,NA,NA,NA,NA,NA,NA,NA,NA,558.21,541.183333333333,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0,FALSE,1e-04,TRUE,Inf,1796.83333333333,0,0.16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1635.28571428571,2044.85714285714,1568.25,1842.875,1965.5,1657.8,1716.16666666667,1836,2520.75,1643.57142857143
1,10,100,0,FALSE,1e-04,TRUE,383.443333333333,283.443333333333,0,1,880.193333333333,927.313333333333,Inf,Inf,Inf,903.636666666667,Inf,Inf,876.56,925.07,780.193333333333,827.313333333333,772.03355704698,836.665551839465,803.181208053691,803.636666666667,782.150501672241,793.461538461538,776.56,825.07
0,2,100,0.01,FALSE,1e-04,TRUE,676.126666666667,576.126666666667,0,1,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,823.88813559322,829.879598662208,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.01,FALSE,1e-04,TRUE,313.363333333333,214.74,0.00333333333333333,1,400.01,400.423333333333,NA,NA,NA,NA,NA,NA,NA,NA,300.01,303.223333333333,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.01,FALSE,1e-04,TRUE,Inf,1214.53424657534,0,0.973333333333333,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1688.01219512195,1694.95918367347,1673.10344827586,1823.29591836735,1729.37,1703.58333333333,1819.29069767442,1829.96,1821.47727272727,1806.72826086957
1,10,100,0.01,FALSE,1e-04,TRUE,324.126666666667,224.126666666667,0,1,693.22,679.07,701.313333333333,669.53,663.94,655.066666666667,672.29,666.656666666667,692.306666666667,658.203333333333,593.22,579.07,601.313333333333,569.53,563.94,555.066666666667,572.29,566.656666666667,592.306666666667,558.203333333333
0,2,100,0.0118108035034134,FALSE,1e-04,TRUE,555.02,455.02,0,1,Inf,763.913333333333,NA,NA,NA,NA,NA,NA,NA,NA,665.207357859532,663.913333333333,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.0118108035034134,FALSE,1e-04,TRUE,285.936666666667,185.936666666667,0,1,380.106666666667,356.163333333333,NA,NA,NA,NA,NA,NA,NA,NA,280.106666666667,256.163333333333,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.0118108035034134,FALSE,1e-04,TRUE,Inf,1000.62876254181,0,0.996666666666667,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1690,1628.26724137931,1797.05109489051,1657.72033898305,1640.46616541353,1852.77165354331,1661.63358778626,1657.15079365079,1695.16279069767,1721.75
1,10,100,0.0118108035034134,FALSE,1e-04,TRUE,313.396666666667,213.396666666667,0,1,647.746666666667,633.556666666667,669.78,656.696666666667,662.223333333333,645.366666666667,625.21,639.903333333333,638.85,654.543333333333,547.746666666667,533.556666666667,569.78,556.696666666667,562.223333333333,545.366666666667,525.21,539.903333333333,538.85,554.543333333333
