"p","K","nu","delta","sparse","alpha","criterion","independent","detector","combine","ARL","CAD","PFA","power"
0,1,100,0.05,FALSE,0.05,"ARL",TRUE,"oracle","joint",35.63,4.25,0.92,0.08
0,1,100,0.05,FALSE,0.05,"ARL",TRUE,"misspec","joint",29.47,NA,1,0
0,1,100,0.05,FALSE,0.05,"ARL",TRUE,"bounded","average",20.93,NA,1,0
0,2,100,0.05,FALSE,0.05,"ARL",TRUE,"oracle","joint",34.39,4.5,0.94,0.06
0,2,100,0.05,FALSE,0.05,"ARL",TRUE,"misspec","joint",26.59,2,0.97,0.03
0,2,100,0.05,FALSE,0.05,"ARL",TRUE,"bounded","average",21.24,NA,1,0
0,2,100,0.05,FALSE,0.05,"ARL",TRUE,"bounded","product",21.55,NA,1,0
0,2,100,0.05,FALSE,0.05,"ARL",TRUE,"bounded","up",20.62,NA,1,0
0,1,100,0.0875,FALSE,0.05,"ARL",TRUE,"oracle","joint",44.81,4.18181818181818,0.89,0.11
0,1,100,0.0875,FALSE,0.05,"ARL",TRUE,"misspec","joint",33,3,0.97,0.03
0,1,100,0.0875,FALSE,0.05,"ARL",TRUE,"bounded","average",21.32,NA,1,0
0,2,100,0.0875,FALSE,0.05,"ARL",TRUE,"oracle","joint",41.94,1.875,0.92,0.08
0,2,100,0.0875,FALSE,0.05,"ARL",TRUE,"misspec","joint",27.4,NA,1,0
0,2,100,0.0875,FALSE,0.05,"ARL",TRUE,"bounded","average",21.05,NA,1,0
0,2,100,0.0875,FALSE,0.05,"ARL",TRUE,"bounded","product",21.29,NA,1,0
0,2,100,0.0875,FALSE,0.05,"ARL",TRUE,"bounded","up",20.71,NA,1,0
0,1,100,0.125,FALSE,0.05,"ARL",TRUE,"oracle","joint",60.43,1.96666666666667,0.7,0.3
0,1,100,0.125,FALSE,0.05,"ARL",TRUE,"misspec","joint",38.01,2,0.93,0.07
0,1,100,0.125,FALSE,0.05,"ARL",TRUE,"bounded","average",21.06,NA,1,0
0,2,100,0.125,FALSE,0.05,"ARL",TRUE,"oracle","joint",56.23,2.03846153846154,0.74,0.26
0,2,100,0.125,FALSE,0.05,"ARL",TRUE,"misspec","joint",36.26,1.16666666666667,0.94,0.06
0,2,100,0.125,FALSE,0.05,"ARL",TRUE,"bounded","average",20.57,NA,1,0
0,2,100,0.125,FALSE,0.05,"ARL",TRUE,"bounded","product",21.47,NA,1,0
0,2,100,0.125,FALSE,0.05,"ARL",TRUE,"bounded","up",20.63,NA,1,0
0,1,100,0.1625,FALSE,0.05,"ARL",TRUE,"oracle","joint",60.75,1.58823529411765,0.66,0.34
0,1,100,0.1625,FALSE,0.05,"ARL",TRUE,"misspec","joint",40.49,1.58333333333333,0.88,0.12
0,1,100,0.1625,FALSE,0.05,"ARL",TRUE,"bounded","average",20.98,NA,1,0
0,2,100,0.1625,FALSE,0.05,"ARL",TRUE,"oracle","joint",66.3,1.58974358974359,0.61,0.39
0,2,100,0.1625,FALSE,0.05,"ARL",TRUE,"misspec","joint",40.4,1.58333333333333,0.88,0.12
0,2,100,0.1625,FALSE,0.05,"ARL",TRUE,"bounded","average",21.44,NA,1,0
0,2,100,0.1625,FALSE,0.05,"ARL",TRUE,"bounded","product",22.13,NA,1,0
0,2,100,0.1625,FALSE,0.05,"ARL",TRUE,"bounded","up",20.49,NA,1,0
0,1,100,0.2,FALSE,0.05,"ARL",TRUE,"oracle","joint",79.1,1.34545454545455,0.45,0.55
0,1,100,0.2,FALSE,0.05,"ARL",TRUE,"misspec","joint",50.49,1.05555555555556,0.82,0.18
0,1,100,0.2,FALSE,0.05,"ARL",TRUE,"bounded","average",21.44,NA,1,0
0,2,100,0.2,FALSE,0.05,"ARL",TRUE,"oracle","joint",83.9,1.34426229508197,0.39,0.61
0,2,100,0.2,FALSE,0.05,"ARL",TRUE,"misspec","joint",44.41,1.08333333333333,0.88,0.12
0,2,100,0.2,FALSE,0.05,"ARL",TRUE,"bounded","average",20.95,NA,1,0
0,2,100,0.2,FALSE,0.05,"ARL",TRUE,"bounded","product",21.81,NA,1,0
0,2,100,0.2,FALSE,0.05,"ARL",TRUE,"bounded","up",21.72,NA,1,0
